gene	Chromosome	Start	End	Strand	ecto	endo	meso	set
Wdr12	1	60076868	60098645	-	7.2505965	6.460221	7.5803447	DifM
Nrp2	1	62703285	62818695	+	3.2967606	1.8939154	4.70891	DifM
Atic	1	71557150	71579631	+	8.273605	7.3754926	8.27402	DifM
Pax3	1	78101267	78197134	-	-0.39457068	-4.3476706	1.0970193	DifM
Twist2	1	91801461	91848028	+	-3.1759303	-7.084636	1.0045072	DifM
Cdh20	1	104768529	104995481	+	-0.9471118	-4.610705	3.7324638	DifM
Prdx6	1	161240112	161251219	-	10.25364	8.9810505	10.243235	DifM
Pbx1	1	168153527	168432270	-	6.9033875	6.5645947	7.5928097	DifM
Itpkb	1	180330485	180424802	+	0.83529675	-5.932633	1.3037091	DifM
Vash2	1	190947648	190979296	-	5.5847893	4.183711	5.931323	DifM
Grin1	2	25291181	25319187	-	-0.60607475	-4.3476706	1.3719524	DifM
Zeb2	2	44983634	45117395	-	5.607477	5.004005	6.3448052	DifM
Tbr1	2	61802930	61814114	+	-1.44801	-7.084636	-0.2612049	DifM
Meis2	2	115863064	116065839	-	5.2326646	4.224082	6.8081717	DifM
Fbn1	2	125300594	125507993	-	1.1001939	-1.9784368	2.8667648	DifM
Fam83c	2	155827548	155834854	-	-4.1759305	-7.084636	-0.12956087	DifM
Gm11476	2	167553314	167607845	+	-3.4754908	-7.084636	0.22225145	DifM
Fam65c	2	167980164	168010618	-	-2.4754908	-7.084636	0.5657078	DifM
Trim59	3	69035288	69044755	-	8.308735	7.439892	8.32262	DifM
Gucy1a3	3	82092428	82145877	-	0.5722624	-2.6107051	2.142879	DifM
She	3	89831370	89858834	+	-2.783613	-6.932633	0.6609202	DifM
Car14	3	95897768	95904691	-	8.205275	7.156569	8.297569	DifM
Cd160	3	96798763	96829351	-	-0.96647704	-3.610705	1.5303105	DifM
Wnt2b	3	104944805	104961709	-	2.6021466	0.33415353	5.022075	DifM
Prmt6	3	110246109	110250998	-	5.323915	4.2602763	5.906549	DifM
Unc5c	3	141465564	141834924	+	0.33186427	-5.932633	3.2094605	DifM
Fubp1	3	152210458	152236830	+	9.210403	8.145893	9.202229	DifM
Gm11827	4	11122805	11126998	+	-1.1759304	-2.762708	1.3734328	DifM
Tmem215	4	40472180	40477168	+	-2.4754908	-7.084636	-0.1211974	DifM
Tal1	4	115056426	115071755	+	-0.700197	-7.084636	1.607824	DifM
Alpl	4	137741733	137796384	-	5.1045504	2.55922	5.3144426	DifM
Ece1	4	137862237	137965229	+	4.6878686	3.4149883	5.9876895	DifM
Gm16503	4	147540218	147543500	+	0.13695249	-4.932633	0.8535653	DifM
2610109H07Rik	4	148098437	148130698	-	1.5955591	-2.932633	1.9901041	DifM
Srm	4	148591503	148594993	+	8.766676	7.5508046	8.943289	DifM
Dpysl5	5	30711564	30799375	+	6.3286405	5.534463	6.816903	DifM
Mn1	5	111417362	111457033	+	4.841574	3.6229146	7.0637927	DifM
Srrm4	5	116439272	116591817	-	0.98394084	-1.4090711	3.4402947	DifM
Rasl11a	5	146845071	146847726	+	5.0108027	2.8405063	6.1058407	DifM
Dfna5	6	50189369	50263862	-	6.416643	5.7137003	6.930349	DifM
Hoxa1	6	52155367	52158317	-	4.048674	1.9191159	4.917753	DifM
Pdzrn3	6	101149609	101377897	-	3.7166126	1.9346455	4.7227693	DifM
Ccnd2	6	127125779	127151048	-	8.132515	7.712913	8.803075	DifM
Prmt8	6	127689011	127769472	-	1.2077739	-2.932633	1.9920329	DifM
Ceacam10	7	24777204	24784649	+	-2.1315362	-6.932633	2.297484	DifM
Etv2	7	30633616	30635852	-	1.3901236	-0.39347425	3.412121	DifM
Kctd15	7	34639014	34655509	-	3.5528402	1.5751616	4.814181	DifM
Klf13	7	63886351	63938915	-	6.6138067	5.7159495	6.7915187	DifM
Arrb1	7	99535466	99606771	+	5.746654	4.152839	6.306182	DifM
Fgf15	7	144896532	144900953	+	3.0027342	-1.2047126	6.200939	DifM
Eif4ebp1	8	27260327	27275656	+	7.884892	7.2078776	8.307985	DifM
Dctd	8	48099092	48153233	+	6.561634	5.396042	6.69647	DifM
Cdh8	8	99024471	99416471	-	-0.21014611	-7.084636	0.90155524	DifM
Pcolce2	9	95637601	95698096	+	4.210471	1.8811481	4.794423	DifM
Cdv3	9	103353102	103365780	-	10.198005	9.350654	10.221632	DifM
Trank1	9	111311739	111395774	+	-1.1986505	-6.932633	-0.18513829	DifM
Rpf2	10	40223246	40246979	-	7.8295627	6.8777375	7.834713	DifM
