Row	chr	starts	ends	strand	ecto	endo	meso	Var8
Sox17	1	4496413	4490928	0	-4.4827056	6.1718163	-4.5655355	3
Atp6v1h	1	5083173	5162549	1	5.1968584	6.4346504	5.6240134	8
Ppp1r42	1	10009136	9968624	0	-5.1979737	-0.13473624	-5.585658	22
Efhc1	1	20951626	20990838	1	-0.6962124	4.588789	-2.7135284	61
Cfc1	1	34535648	34544311	1	-0.03605486	6.728229	5.1800694	94
Prss40	1	34560943	34543975	0	-1.5062671	4.2292895	2.5786824	95
Creg2	1	39651182	39618406	0	-7.44879	-0.3484631	-9.988477	142
Slc40a1	1	45925594	45908070	0	-1.3938847	3.1778631	-9.209697	173
Dnahc7b	1	46066738	46373550	1	-3.1348023	-0.06305354	-4.8359036	174
Stat4	1	51987148	52107188	1	0.12698263	2.1620688	-2.0234513	180
Mdh1b	1	63730318	63698819	0	-6.6945553	2.8791168	-2.9947765	259
Spag16	1	69826988	70725132	1	-0.97919047	1.7563828	-0.48368835	287
Igfbp5	1	72874884	72857932	0	-1.5745777	1.771675	-4.3324857	302
Tnp1	1	73015899	73015083	0	-5.8065634	0.52415407	-6.194248	303
Gm216	1	74362108	74369321	1	-3.9847486	1.9488537	-0.7503809	313
Vil1	1	74409376	74435559	1	-2.9083211	0.9169728	-3.222005	316
Stk36	1	74601445	74636894	1	-1.8851286	3.1878085	-0.8500675	323
Cryba2	1	74893143	74889934	0	-7.3183737	0.5598324	-7.7060575	331
Ccdc108	1	74935599	74902071	0	-3.9969575	1.7736	-4.6823225	332
Sgpp2	1	78310346	78420286	1	-0.68826264	1.6927152	-2.996168	361
Ap1s3	1	79671972	79606876	0	0.7066058	3.2337477	0.04462808	368
Ccl20	1	83116766	83119167	1	1.3745236	4.872164	-1.1637205	384
Wdr69	1	83159752	83210574	1	-2.9662023	1.8813062	-8.550284	385
Iqca	1	90153401	90042132	0	-4.2032413	2.2424655	-9.135246	448
Capn10	1	92934376	92947941	1	2.6520746	4.2440724	2.7297063	476
St8sia4	1	95667594	95587684	0	-1.8812754	1.6111935	-9.736566	501
Slco4c1	1	96872171	96818784	0	-8.172409	0.8832949	-8.560093	502
Rnf152	1	105356710	105276917	0	-1.8155379	0.9787241	-2.0007293	510
Gm101	1	119997234	119923341	0	-6.456482	0.7899776	-6.0368114	543
Ysk4	1	127840290	127815271	0	-8.889716	0.00641152	-7.692438	565
Cd55	1	130462744	130439027	0	-3.8343105	3.020275	-1.5351529	576
Dyrk3	1	131138234	131128441	0	3.3144398	4.657648	2.8849182	588
Avpr1b	1	131599239	131612000	1	-7.3362947	2.3771966	-0.750521	594
Slc26a9	1	131744022	131771504	1	-6.9767647	-0.8896806	-9.83838	597
Mybph	1	134193448	134201231	1	-7.9352546	0.68370783	-2.9614828	632
Elf3	1	135258472	135253574	0	2.4134438	5.3782687	0.5034608	650
Nav1_1	1	135688105	135606447	0	-2.238756	0.9557261	-4.318318	657
Mr1	1	155146780	155127878	0	-3.5962422	0.71391004	-8.779786	734
Sec16b	1	157506728	157568425	1	-4.139161	0.29958564	-2.4883711	755
Rabgap1l	1	160792938	160219174	0	-1.6957175	3.4074898	-1.5639325	764
Mettl11b	1	163725232	163702257	0	-7.7981696	-0.11044126	-8.337857	791
F5	1	164151838	164220277	1	-2.998993	1.3121719	-4.6394434	798
4930455F23Rik	1	164275585	164287847	1	2.5357401	4.340694	0.58669174	800
Mgst3	1	167393841	167371966	0	3.1171002	4.462393	1.96451	828
Rgs4	1	169747642	169741477	0	-1.8300774	1.500006	-6.1246524	835
1700009P17Rik	1	171113918	171126967	1	-0.945576	5.895314	-0.448196	851
Fcer1g	1	171234365	171229572	0	-4.006095	-0.58922076	-5.978742	858
Klhdc9	1	171360798	171358446	0	1.2022065	3.5531278	0.8798136	868
Tagln2	1	172500047	172507380	1	5.1118584	7.466687	4.600275	898
Ccdc19	1	172521044	172545870	1	-4.373466	4.3665905	-4.668041	899
Sdccag8	1	176814660	177020437	1	0.29388708	2.2793849	-0.19925766	938
Susd4	1	182763860	182896598	1	2.0400622	3.5509787	0.68501925	984
Tlr5	1	182954788	182976044	1	-4.342679	-0.52736926	-9.130294	985
