Row	chr	starts	ends	strand	ecto	endo	meso	Var8
Jph1	1	17097889	16994938	0	-1.0597816	-1.0565915	-1.2310166	47
Rab23	1	33719882	33742564	1	1.701717	1.0306062	1.723052	85
Tbc1d8	1	39478747	39371499	0	3.9078608	3.89682	3.6947286	139
D1Bwg0212e	1	39534992	39546881	1	2.829925	2.502768	2.837053	140
Map4k4	1	39900913	40026310	1	2.3151684	2.6276665	2.6458027	144
Tmem194b	1	52630705	52651919	1	1.199009	1.2074441	0.14579676	184
Kctd18	1	58018956	57955101	0	1.8036777	1.7844532	1.6622484	213
Mpp4	1	59163389	59120936	0	-0.16287093	-0.14296088	-1.3367249	232
Akr1cl	1	65032759	65012689	0	-3.1791081	-4.7008333	-3.184323	267
1810031K17Rik	1	75142368	75134554	0	1.7780268	2.0345876	2.0493395	336
Fam134a	1	75142786	75147909	1	1.9161975	1.9216435	1.8733319	337
Atg9a	1	75191923	75180866	0	2.0092187	1.4474385	1.9855084	340
Dnajb2	1	75236465	75244804	1	0.07451063	0.6322202	0.60276204	345
Sh3bp4	1	89070415	89155068	1	3.4231246	3.4061584	2.5296977	444
Gpr39	1	125676995	125873862	1	-2.1475918	-1.9824746	-1.9859375	558
R3hdm1	1	128103306	128237735	1	4.253833	3.8009872	4.2541685	568
Ptpn7	1	135132725	135145320	1	-3.2454505	-1.945513	-1.9825841	647
Arl8a	1	135146824	135156269	1	0.7125562	0.18446162	0.70289457	648
Edem3	1	151755374	151822328	1	1.4689277	1.4287889	1.4547595	709
Klhl20	1	161131511	161088375	0	0.30896112	0.32590503	0.30395448	770
Gpr161	1	165301863	165322930	1	-2.8672333	-2.8914587	-6.3423805	809
Adcy10	1	165485183	165576774	1	-5.268418	-5.03807	-5.0966744	812
Cd247	1	165788681	165877276	1	-0.21744862	-0.2459973	-0.97847354	816
Dusp12	1	170885540	170873498	0	2.9576893	2.4538305	2.945748	845
Alyref2	1	171503478	171504750	1	0.89865303	0.049946733	0.92095315	873
Dcaf8	1	172148015	172196393	1	4.526005	4.5736094	4.577928	887
Atp1a2	1	172298064	172271709	0	-4.2152653	-1.4282373	-1.3864238	892
Pld5	1	176275312	175962306	0	-3.6484988	-8.92214	-3.6137283	935
CAAA01083517.1	1	183369529	183326725	0	3.469327	3.6301374	3.6193106	989
Eprs	1	185363095	185428355	1	6.5015903	5.9514184	6.499454	1000
Rps6kc1	1	190911770	190700202	0	-0.36891913	0.21785715	0.22823946	1015
Atf3	1	191183340	191170296	0	-8.053401	-3.253198	-3.2890823	1024
Rd3	1	191977373	191988282	1	-4.7582803	-4.720578	-7.393893	1033
