gene	Chromosome	Start	End	Strand	ecto	endo	meso	set
A830018L16Rik	1	11414105	11975901	+	3.4588807	2.4094415	0.15498076	DifEc
Trpa1	1	14872648	14918862	-	2.8711934	1.5349725	0.10595246	DifEc
Tfap2d	1	19103022	19166346	+	-4.854002	-6.932633	-8.7078285	DifEc
Neurl3	1	36264602	36273425	-	-1.1315362	-7.084636	-8.7078285	DifEc
Fam178b	1	36562694	36683183	-	3.5781217	1.9222353	-1.1895034	DifEc
1700019D03Rik	1	52922324	52963260	-	5.97683	2.8138812	0.8871179	DifEc
Pgap1	1	54473000	54557684	-	6.2475796	4.919896	2.5513916	DifEc
Prkag3	1	74739499	74749221	-	-4.854002	-7.084636	-8.7078285	DifEc
9430031J16Rik	1	81076950	81341764	+	-3.2690396	-4.932633	-8.7078285	DifEc
Sphkap	1	83254139	83408200	-	2.6632733	0.5511826	-4.307898	DifEc
B3gnt7	1	86303221	86307303	+	5.418161	4.910503	3.7618697	DifEc
3110079O15Rik	1	87470264	87475459	+	-5.5909677	-6.932633	-8.7078285	DifEc
Arl4c	1	88673125	88702221	-	5.937812	4.6466827	3.4142802	DifEc
Kif1a	1	93015456	93101865	-	5.354476	2.4049888	1.6103374	DifEc
Bok	1	93685694	93695762	+	5.8626456	4.933873	4.45015	DifEc
Cdh7	1	109982431	110140157	+	1.1459978	-1.9784368	-4.468363	DifEc
Nfasc	1	132564691	132741797	-	4.748882	2.364283	1.4858334	DifEc
Nmnat2	1	152955101	153119260	+	5.257394	3.0432148	2.6346164	DifEc
Zfp648	1	154201187	154205674	+	-4.854002	-7.084636	-8.7078285	DifEc
Tbx19	1	165137855	165160773	-	-1.8183784	-6.932633	-8.7078285	DifEc
Gm15853	1	166379839	166380493	-	-5.5909677	-6.932633	-8.7078285	DifEc
Cd48	1	171682009	171705258	+	-4.854002	-7.084636	-8.7078285	DifEc
Igsf8	1	172261641	172319841	+	4.1533055	3.3294616	2.4385278	DifEc
Slamf8	1	172581377	172590568	-	-0.6523685	-7.084636	-8.7078285	DifEc
Ifi203	1	173920407	173942672	-	-5.1759305	-7.084636	-8.7078285	DifEc
Parp1	1	180568955	180601253	+	8.909086	8.140923	8.208075	DifEc
Cnih3	1	181352628	181460641	+	-0.33044037	-2.762708	-8.7078285	DifEc
C1ql3	2	13003457	13011747	-	0.8847655	-4.125278	-4.3859005	DifEc
2810030E01Rik	2	18040676	18049051	-	5.173351	3.742442	3.750236	DifEc
Il1f9	2	24186476	24193568	+	-2.1759305	-7.084636	-8.7078285	DifEc
Gm13536	2	33446802	33449207	+	-5.5909677	-6.932633	-8.7078285	DifEc
Olfr360	2	37065746	37069260	+	-4.854002	-7.084636	-8.7078285	DifEc
Gpr21	2	37516332	37520603	+	1.4202594	-0.72317976	-2.4265425	DifEc
