gene	Chromosome	Start	End	Strand	ecto	endo	meso	set
Sox17	1	4490928	4496413	-	-0.026183276	7.8396297	1.0197136	DifEn
Atp6v1h	1	5083173	5162549	+	6.355938	7.239091	6.4129763	DifEn
Sgk3	1	9798130	9902556	+	3.9391134	5.5511827	3.8730578	DifEn
Ppp1r42	1	9968624	10009136	-	-5.1759305	3.310541	-8.7078285	DifEn
Cspp1	1	10038218	10136768	+	5.7397623	6.7254667	5.74023	DifEn
4930444P10Rik	1	16065979	16093325	-	-2.3179495	2.495727	-0.10461452	DifEn
Gm7568	1	16253592	16267921	+	-7.327934	-2.2887769	-8.7078285	DifEn
Efhc1	1	20951626	20990838	+	-1.1535627	5.9540157	-0.18950348	DifEn
Khdc1a	1	21349641	21352200	+	-7.327934	0.46824628	-6.5558257	DifEn
Cfc1	1	34535648	34544311	+	0.5655365	6.94302	4.9864807	DifEn
Prss40	1	34543975	34560943	-	-0.13153629	5.40164	3.4088764	DifEn
Vwa3b	1	37026596	37076996	+	-7.1759305	-0.5063683	-8.555826	DifEn
Cnga3	1	37218336	37263384	+	-7.327934	-4.932633	-8.7078285	DifEn
Inpp4a	1	37299865	37410736	+	3.3249114	5.972754	4.789857	DifEn
2010300C02Rik	1	37611677	37720085	-	-7.1759305	3.6839159	-3.4265428	DifEn
Creg2	1	39618406	39651182	-	-7.327934	2.2913685	-8.7078285	DifEn
Slc40a1	1	45908070	45925594	-	-0.50350505	5.0215630000000004	-0.648935	DifEn
Myo1b	1	51749765	51916071	-	5.249548	6.623154	5.933144	DifEn
Als2cr12	1	58658117	58695989	-	-7.327934	1.1441826	-7.5558257	DifEn
Casp8	1	58795374	58847503	+	3.0027342	4.6132965	2.1644185	DifEn
Gm973	1	59516264	59634508	+	-1.783613	2.2094738	-0.2937308	DifEn
Mdh1b	1	63698819	63730318	-	-0.87214965	3.7094185	-1.0322636	DifEn
Gm216	1	74362108	74369321	+	-1.3179495	3.7121243	0.6462982	DifEn
Vil1	1	74409376	74435559	+	0.28350115	4.4413195	-0.25661767	DifEn
Stk36	1	74601445	74636894	+	0.27528068	6.7199883	1.7694798	DifEn
Cryba2	1	74889934	74893143	-	-7.327934	1.2768203	-8.7078285	DifEn
Ccdc108	1	74902071	74935599	-	-1.4754908	6.3758483	-1.8279052	DifEn
Gm15841	1	74902371	74907653	+	-7.327934	2.0331511	-8.7078285	DifEn
Ihh	1	74945319	74951651	-	-3.4754908	1.8970897	-5.748471	DifEn
Slc23a3	1	75125544	75133890	-	-7.1759305	-0.28877687	-8.7078285	DifEn
Stk11ip	1	75521529	75537335	+	4.6616974	6.101994	4.805433	DifEn
Ap1s3	1	79606876	79671972	-	1.9168267	5.230702	2.1973913	DifEn
Ccl20	1	83116766	83119167	+	-7.327934	4.658422	-1.08822	DifEn
Wdr69	1	83159752	83210574	+	-2.221734	4.4553843	-3.8009384	DifEn
Gm10553	1	85100164	85100535	+	-7.327934	-3.2321935	-8.7078285	DifEn
A530040E14Rik	1	85105946	85114035	+	-7.327934	-4.932633	-8.7078285	DifEn
Itm2c	1	85894281	85908675	+	6.523425	7.3437824	6.394639	DifEn
4933407L21Rik	1	85928483	85940624	+	-7.327934	-0.39347425	-8.7078285	DifEn
Gm5258	1	86323267	86323593	+	-7.327934	-4.932633	-8.7078285	DifEn
Spp2	1	88406961	88426438	+	-7.327934	3.5051188	-3.1982737	DifEn
Iqca	1	90042132	90153401	-	-7.327934	4.51031	-4.5558257	DifEn
Capn10	1	92934376	92947941	+	5.060981	6.382092	5.0335913	DifEn
Gm9994	1	93918437	93941239	+	-7.327934	-4.932633	-8.7078285	DifEn
St8sia4	1	95587684	95667594	-	-0.63677156	3.7353654	-2.016667	DifEn
Slco4c1	1	96818784	96872171	-	-7.1759305	3.2961855	-2.6978445	DifEn
Gm101	1	119923341	119997234	-	-7.1759305	1.8811481	-1.926469	DifEn
Ysk4	1	127815271	127840290	-	-7.327934	3.740676	-6.9708633	DifEn
Gm15674	1	130422824	130437914	+	-6.1759305	0.4336891	-5.5558257	DifEn
Gm15675	1	130429781	130437191	-	-2.4754908	1.9159899	-1.8976141	DifEn
Cd55	1	130439027	130462744	-	-2.590968	5.468513	1.5913794000000001	DifEn
AA986860	1	130731976	130744621	+	-6.1759305	1.3057717	-1.5785457	DifEn
Dyrk3	1	131128441	131138234	-	4.5646935	5.7342567	4.097915	DifEn
Slc26a9	1	131744022	131771504	+	-2.5320742	1.6142615	-3.0639725	DifEn
Nuak2	1	132316126	132333488	+	4.1403513	5.3637094	3.3767583	DifEn
Golt1a	1	133309823	133323026	+	-7.327934	1.6447958	-2.6978445	DifEn
Elf3	1	135253574	135258472	-	3.6640604	6.3437824	2.4824073	DifEn
Npl	1	153503016	153549714	-	1.291675	4.925348	1.9881728	DifEn
Xpr1	1	155275701	155417415	-	4.0814576	5.802923	4.171031	DifEn
Tdrd5	1	156255296	156303664	-	1.6184853	5.004005	0.6992029	DifEn
Rabgap1l	1	160219174	160792938	-	1.6975137	6.6212363	2.6968398	DifEn
Fmo1	1	162829561	162866548	-	-7.327934	1.4553841	-3.9119694	DifEn
Fmo2	1	162874317	162898726	-	-7.327934	-0.40907118	-8.7078285	DifEn
Mettl11b	1	163702257	163725232	-	-7.1759305	-0.6288523	-8.7078285	DifEn
Selp	1	164115264	164150026	+	-7.327934	-3.2321935	-8.7078285	DifEn
Gm16587	1	164143432	164146366	-	-7.327934	-4.932633	-8.7078285	DifEn
Gm16548	1	164148591	164152217	-	-7.1759305	0.7112231	-7.5558257	DifEn
F5	1	164151838	164220277	+	-0.7665395	5.082085	-2.016667	DifEn
Sft2d2	1	165174341	165194433	-	4.3471413	5.490483	3.6268792	DifEn
Rgs4	1	169741477	169747642	-	0.1816215	3.7686734	-2.327007	DifEn
1700009P17Rik	1	171113918	171126967	+	0.23346052	7.132867	0.7570573	DifEn
Tagln2	1	172500047	172507380	+	6.0223613	8.726722	5.724148	DifEn
Ccdc19	1	172521044	172545870	+	-2.1759305	6.1856594	-1.5224026	DifEn
Gm16564	1	178898582	178917614	-	-7.327934	1.247276	-1.2704234	DifEn
Sccpdh	1	179668210	179687189	+	5.7498093	7.0639286	5.983272	DifEn
9130409I23Rik	1	181051237	181060667	+	-7.327934	-3.932633	-8.7078285	DifEn
Ccdc121	1	181509633	181511451	-	-7.327934	-3.0257423	-8.7078285	DifEn
Degs1	1	182275772	182282804	-	6.406682	7.6420193	7.1344724	DifEn
Mosc1	1	184786776	184811313	-	-7.327934	0.88754576	-3.855386	DifEn
Spata17	1	187044648	187215465	-	-0.08846757	3.9034173	0.56051826	DifEn
Ptpn14	1	189728268	189876695	+	5.485625	6.183386	5.136136	DifEn
Prox1	1	190118038	190170680	-	3.84227	5.44512	3.227582	DifEn
Irf6	1	193153112	193172042	+	0.7782659	4.222185	-0.8009382	DifEn
Lamb3	1	193301957	193343878	+	-1.590968	3.1953614	-0.6549588	DifEn
Meig1	2	3409043	3422648	-	-7.327934	3.7237918	-5.9708633	DifEn
Fam107b	2	3613758	3782142	+	3.799201	6.2061186	4.401095	DifEn
Phyh	2	4919019	4938730	+	4.881046	6.328433	3.96994	DifEn
Gm13219	2	9352431	9447676	+	-7.327934	-2.2887769	-8.7078285	DifEn
Cubn	2	13276338	13491924	-	-2.783613	5.927096	-0.18078627	DifEn
Commd3	2	18672384	18676231	+	5.570584	6.9469504	6.4485707	DifEn
Armc3	2	19199302	19310241	+	-1.0884675	4.2510023	-1.8009381	DifEn
Enkur	2	21180731	21205365	-	-3.3685756	6.0770206	-1.1895034	DifEn
Thnsl1	2	21205724	21215009	+	3.361288	5.33737	2.4933422	DifEn
Tbpl2	2	24071721	24096595	-	-7.327934	-1.099743	-8.7078285	DifEn
Entpd8	2	25080304	25085716	+	-7.327934	-1.8451704	-8.7078285	DifEn
Lcn4	2	26667674	26671282	-	-7.327934	-4.932633	-8.7078285	DifEn
Dbh	2	27165233	27183200	+	-7.327934	-2.0257425	-8.7078285	DifEn
1700007K13Rik	2	28462001	28466332	-	0.99399465	6.4541726	-0.74847084	DifEn
Ralgds	2	28513125	28553081	+	2.739949	5.3562326	1.9696951	DifEn
1700026L06Rik	2	28692080	28699727	-	-2.1315362	4.565219	-1.926469	DifEn
Ak8	2	28700164	28813165	+	0.8739181	3.9167721	-0.22043532	DifEn
1700101E01Rik	2	28955373	29055064	-	-0.74966574	3.2645836	-2.8279052	DifEn
Cercam	2	29869164	29882840	+	3.2302744	5.2319593	2.3321564	DifEn
Wdr34	2	30031546	30048881	-	3.9397633	6.0562286	4.48532	DifEn
Ak1	2	32621758	32646805	+	3.6418526	5.305772	3.1784606	DifEn
Sh2d3c	2	32721055	32755512	+	-0.6523685	3.015734	-1.8279052	DifEn
Hc	2	34983331	35061438	-	-7.1759305	1.842154	-4.233897	DifEn
Gsn	2	35279663	35307892	+	1.4858476	6.222185	1.9726285	DifEn
Ggta1	2	35400179	35463231	-	1.9430106	4.7193155	2.5448365	DifEn
Morn5	2	36049458	36079718	+	-4.5909677	3.8803465	-3.4265428	DifEn
Olfr368	2	37331749	37332733	+	-7.327934	0.4072169	-8.7078285	DifEn
Gm13580	2	60411525	60412579	+	-5.5909677	1.5471472	-6.5558257	DifEn
Dpp4	2	62330073	62412231	-	-0.59096795	6.1820855	-1.0639726	DifEn
Cobll1	2	65088339	65239403	-	1.1860135	4.6949005	2.0515046	DifEn
Bbs5	2	69647171	69667571	+	4.2056127	5.927096	4.543358	DifEn
4930578N16Rik	2	69758033	69789575	-	1.7840714	4.951537	1.142879	DifEn
Sp5	2	70474923	70477729	+	4.29422	6.729145	5.8074193	DifEn
1500002O10Rik	2	70489940	70563357	-	-2.783613	2.518578	-0.11703377	DifEn
4933404M02Rik	2	70508819	70540884	+	-1.3685756	5.9085383	0.7295765	DifEn
Gm13708	2	73459705	73477602	+	-7.327934	-1.6847056	-8.7078285	DifEn
Gm13656	2	75729592	75730172	-	-7.327934	-4.932633	-8.7078285	DifEn
Ttc30b	2	75935863	75938462	-	-0.48942995	5.4762273	1.6861575	DifEn
Pde11a	2	75989141	76338774	-	-4.1759305	1.2913686	-3.3463724	DifEn
Ccdc141	2	77009902	77170636	-	-4.3685756	2.204358	-0.57854575	DifEn
Pde1a	2	79834453	80129458	-	-7.327934	1.0841752	-6.5558257	DifEn
Zswim2	2	83915079	83941228	-	-7.327934	-0.34767053	-8.7078285	DifEn
Olfr1033	2	86034765	86044808	+	-7.327934	-0.76270807	-8.7078285	DifEn
Olfr141	2	86806088	86806997	-	-7.327934	-4.932633	-8.7078285	DifEn
Olfr1154	2	87902742	87903674	-	-7.327934	-3.3476706	-8.7078285	DifEn
Olfr1201	2	88794384	88795307	+	-7.327934	-3.932633	-8.7078285	DifEn
Olfr140	2	90051414	90063594	-	-7.327934	-1.9784368	-8.7078285	DifEn
Agbl2	2	90782727	90834437	+	-3.1759303	4.1927805	-2.6016293	DifEn
Chrm4	2	91922189	91929829	+	-2.6523685	1.6334211	-1.8279052	DifEn
Gm13780	2	92043373	92096042	-	-7.327934	-3.932633	-8.7078285	DifEn
Trp53i11	2	93187548	93201759	+	5.253476	6.867357	6.247801	DifEn
Cd82	2	93419111	93463140	-	0.25033426	4.988836	2.1059525	DifEn
B230118H07Rik	2	101560781	101649532	-	4.907549	6.4040127	5.25163	DifEn
Cd59a	2	104095801	104115354	+	0.7369588	4.993663	0.33595812	DifEn
Muc15	2	110721340	110739527	+	-7.327934	-0.610705	-8.7078285	DifEn
Olfr1308	2	111960109	111961071	-	-7.327934	-2.1777456	-8.7078285	DifEn
Olfr1309	2	111983134	111984097	-	-7.327934	-4.932633	-8.7078285	DifEn
Fsip1	2	118204888	118256966	-	-1.590968	3.9152071	0.53428674	DifEn
